No.,ID Kabupaten,BULAN,BENCANA,KABUPATEN
3713,3314,JANUARI,BANJIR,SRAGEN
3697,3315,JANUARI,BANJIR,GROBOGAN
3657,3302,JANUARI,TANAH LONGSOR,BANYUMAS
3656,3323,JANUARI,BANJIR,TEMANGGUNG
3619,3304,JANUARI,TANAH LONGSOR,BANJARNEGARA
3603,3315,JANUARI,CUACA EKSTREM,GROBOGAN
3594,3322,JANUARI,CUACA EKSTREM,SEMARANG
3591,3375,JANUARI,BANJIR,KOTA PEKALONGAN
3574,3310,JANUARI,CUACA EKSTREM,KLATEN
3584,3375,JANUARI,BANJIR,KOTA PEKALONGAN
3495,3301,JANUARI,CUACA EKSTREM,CILACAP
3496,3305,JANUARI,CUACA EKSTREM,KEBUMEN
3467,3307,JANUARI,CUACA EKSTREM,WONOSOBO
3473,3323,JANUARI,CUACA EKSTREM,TEMANGGUNG
3472,3326,JANUARI,CUACA EKSTREM,PEKALONGAN
3449,3320,JANUARI,CUACA EKSTREM,JEPARA
3442,3320,JANUARI,BANJIR,JEPARA
3423,3318,JANUARI,BANJIR,PATI
3421,3320,JANUARI,CUACA EKSTREM,JEPARA
3420,3329,JANUARI,CUACA EKSTREM,BREBES
3422,3376,JANUARI,BANJIR,KOTA TEGAL
3396,3323,JANUARI,TANAH LONGSOR,TEMANGGUNG
3383,3301,JANUARI,CUACA EKSTREM,CILACAP
3391,3310,JANUARI,BANJIR,KLATEN
3393,3311,JANUARI,BANJIR,SUKOHARJO
3372,3319,JANUARI,CUACA EKSTREM,KUDUS
3363,3328,JANUARI,BANJIR,TEGAL
3353,3305,JANUARI,CUACA EKSTREM,KEBUMEN
3337,3315,FEBRUARI,BANJIR,GROBOGAN
3336,3324,FEBRUARI,BANJIR,KENDAL
3335,3328,FEBRUARI,CUACA EKSTREM,TEGAL
3320,3316,FEBRUARI,BANJIR,BLORA
3322,3327,FEBRUARI,BANJIR,PEMALANG
3323,3328,FEBRUARI,BANJIR,TEGAL
3310,3301,FEBRUARI,BANJIR,CILACAP
3304,3315,FEBRUARI,BANJIR,GROBOGAN
3295,3321,FEBRUARI,BANJIR,DEMAK
3307,3324,FEBRUARI,TANAH LONGSOR,KENDAL
3294,3329,FEBRUARI,BANJIR,BREBES
